column,dtype,n_missing,missing_%,n_unique,min,q25,median,mean,q75,max,true_count,false_count
serial,object,0,0.0,324.0,,,,,,,,
company,float64,1722,100.0,,,,,,,,,
color,object,0,0.0,4.0,,,,,,,,
level_now_pct,float64,0,0.0,,0.0,1.0,3.0,15.463995354239257,21.75,98.0,,
slope_pct_per_day,float64,0,0.0,,-17.9504,-0.767425,-0.4177,-0.6978391986062716,-0.237425,-0.1001,,
days_left_est,float64,0,0.0,,0.0,0.0,0.0,28.23821138211382,29.25,300.0,,
stockout_date,datetime64[ns],0,0.0,642.0,2023-03-09 00:00:00,,,,,2026-04-02 00:00:00,,
reorder_date,datetime64[ns],0,0.0,742.0,2023-03-08 00:00:00,,,,,2026-04-03 00:00:00,,
ref_date,datetime64[ns],0,0.0,742.0,2023-03-08 00:00:00,,,,,2026-04-03 00:00:00,,
should_order_now,bool,0,0.0,2.0,,,,,,,951.0,771.0
relation_type,object,0,0.0,1.0,,,,,,,,
ship_date_real,datetime64[ns],698,40.53,190.0,2023-02-24 00:00:00,,,,,2025-10-02 00:00:00,,
doc_no,datetime64[ns],1722,100.0,0.0,,,,,,,,
ledger_designation,object,698,40.53,95.0,,,,,,,,
ledger_type,object,740,42.97,7.0,,,,,,,,
ledger_qty,float64,698,40.53,,-8.0,-1.0,-1.0,-1.37109375,-1.0,-1.0,,
err_days,float64,698,40.53,,-75.0,-30.0,-3.0,24.068359375,84.0,180.0,,
